"analysis_ID","analysis_type","sample_name","timepoint","location","NPOC_dilution"
"DOC_CMPS_KFP_0210","DOC","anoxia_012","time-zero","transition-A","1"
"DOC_CMPS_KFP_0211","DOC","anoxia_013","time-zero","transition-A","1"
"DOC_CMPS_KFP_0212","DOC","anoxia_014","time-zero","transition-A","1"
"DOC_CMPS_KFP_0213","DOC","anoxia_015","time-zero","transition-A","1"
"DOC_CMPS_KFP_0214","DOC","anoxia_016","time-zero","wetland-A","1"
"DOC_CMPS_KFP_0215","DOC","anoxia_017","time-zero","wetland-A","1"
"DOC_CMPS_KFP_0216","DOC","anoxia_018","time-zero","wetland-A","1"
"DOC_CMPS_KFP_0217","DOC","anoxia_019","time-zero","wetland-A","1"
"DOC_CMPS_KFP_0218","DOC","anoxia_020","time-zero","wetland-A","1"
"DOC_CMPS_KFP_0219","DOC","blank-filter","time-zero","water","1"
"DOC_CMPS_KFP_0220","DOC","blank-solution",,,"1"
"DOC_CMPS_KFP_0221","DOC","anoxia_022","12-hour","upland-A","1"
"DOC_CMPS_KFP_0222","DOC","anoxia_023","12-hour","upland-A","1"
"DOC_CMPS_KFP_0223","DOC","anoxia_024","12-hour","upland-A","1"
"DOC_CMPS_KFP_0224","DOC","anoxia_025","12-hour","upland-A","1"
"DOC_CMPS_KFP_0225","DOC","anoxia_026","12-hour","upland-A","1"
"DOC_CMPS_KFP_0226","DOC","anoxia_027","12-hour","upland-B","1"
"DOC_CMPS_KFP_0227","DOC","anoxia_028","12-hour","upland-B","1"
"DOC_CMPS_KFP_0228","DOC","anoxia_029","12-hour","upland-B","1"
"DOC_CMPS_KFP_0229","DOC","anoxia_030","12-hour","upland-B","1"
"DOC_CMPS_KFP_0230","DOC","anoxia_031","12-hour","upland-B","1"
"DOC_CMPS_KFP_0231","DOC","anoxia_032","12-hour","transition-A","1"
"DOC_CMPS_KFP_0232","DOC","anoxia_033","12-hour","transition-A","1"
"DOC_CMPS_KFP_0233","DOC","anoxia_034","12-hour","transition-A","1"
"DOC_CMPS_KFP_0234","DOC","anoxia_035","12-hour","transition-A","1"
"DOC_CMPS_KFP_0235","DOC","anoxia_036","12-hour","transition-A","1"
"DOC_CMPS_KFP_0236","DOC","anoxia_037","12-hour","wetland-A","1"
"DOC_CMPS_KFP_0237","DOC","anoxia_038","12-hour","wetland-A","1"
"DOC_CMPS_KFP_0238","DOC","anoxia_039","12-hour","wetland-A","1"
"DOC_CMPS_KFP_0239","DOC","anoxia_040","12-hour","wetland-A","1"
"DOC_CMPS_KFP_0240","DOC","anoxia_041","12-hour","wetland-A","1"
"DOC_CMPS_KFP_0241","DOC","blank-filter","12-hour","water","1"
"DOC_CMPS_KFP_0242","DOC","blank-solution",,,"1"
"DOC_CMPS_KFP_0243","DOC","anoxia_064","2-week","upland-A","1"
"DOC_CMPS_KFP_0244","DOC","anoxia_065","2-week","upland-A","1"
"DOC_CMPS_KFP_0245","DOC","anoxia_066","2-week","upland-A","1"
"DOC_CMPS_KFP_0246","DOC","anoxia_067","2-week","upland-A","1"
"DOC_CMPS_KFP_0247","DOC","anoxia_068","2-week","upland-A","1"
"DOC_CMPS_KFP_0248","DOC","anoxia_069","2-week","upland-B","1"
"DOC_CMPS_KFP_0249","DOC","anoxia_070","2-week","upland-B","1"
"DOC_CMPS_KFP_0250","DOC","anoxia_071","2-week","upland-B","1"
"DOC_CMPS_KFP_0251","DOC","anoxia_072","2-week","upland-B","1"
"DOC_CMPS_KFP_0252","DOC","anoxia_073","2-week","upland-B","1"
"DOC_CMPS_KFP_0253","DOC","anoxia_074","2-week","transition-A","1"
"DOC_CMPS_KFP_0254","DOC","anoxia_075","2-week","transition-A","1"
"DOC_CMPS_KFP_0255","DOC","anoxia_076","2-week","transition-A","1"
"DOC_CMPS_KFP_0256","DOC","anoxia_077","2-week","transition-A","1"
"DOC_CMPS_KFP_0257","DOC","anoxia_078","2-week","transition-A","1"
"DOC_CMPS_KFP_0258","DOC","anoxia_079","2-week","wetland-A","1"
"DOC_CMPS_KFP_0259","DOC","anoxia_080","2-week","wetland-A","1"
"DOC_CMPS_KFP_0260","DOC","anoxia_081","2-week","wetland-A","1"
"DOC_CMPS_KFP_0261","DOC","anoxia_082","2-week","wetland-A","1"
"DOC_CMPS_KFP_0262","DOC","anoxia_083","2-week","wetland-A","1"
"DOC_CMPS_KFP_0263","DOC","blank-filter","2-week","water","1"
"DOC_CMPS_KFP_0264","DOC","blank-solution",,,"1"
