"sample_label","analysis","name","value","region","site","transect","tree_number","horizon"
"COMPASS_Dec2021_064","PH","specific_conductance_ms_cm",0.07,"WLE","OWC","upland","104","A"
"COMPASS_Dec2021_065","PH","pH",5.7,"WLE","OWC","upland","105","A"
"COMPASS_Dec2021_065","PH","specific_conductance_ms_cm",0.11,"WLE","OWC","upland","105","A"
"COMPASS_Dec2021_066","PH","pH",6.3,"WLE","OWC","upland","106","A"
"COMPASS_Dec2021_066","PH","specific_conductance_ms_cm",0.04,"WLE","OWC","upland","106","A"
"COMPASS_Dec2021_067","PH","pH",6.4,"WLE","OWC","upland","107","A"
"COMPASS_Dec2021_067","PH","specific_conductance_ms_cm",0.08,"WLE","OWC","upland","107","A"
"COMPASS_Dec2021_068","PH","pH",6.6,"WLE","OWC","upland","108","A"
"COMPASS_Dec2021_068","PH","specific_conductance_ms_cm",0.14,"WLE","OWC","upland","108","A"
"COMPASS_Dec2021_069","PH","pH",6.7,"WLE","OWC","upland","109","A"
"COMPASS_Dec2021_069","PH","specific_conductance_ms_cm",0.07,"WLE","OWC","upland","109","A"
"COMPASS_Dec2021_070","PH","pH",7.2,"WLE","OWC","transition","120","A"
"COMPASS_Dec2021_070","PH","specific_conductance_ms_cm",0.08,"WLE","OWC","transition","120","A"
"COMPASS_Dec2021_071","PH","pH",6.8,"WLE","OWC","transition","121","A"
"COMPASS_Dec2021_071","PH","specific_conductance_ms_cm",0.11,"WLE","OWC","transition","121","A"
"COMPASS_Dec2021_072","PH","pH",7.1,"WLE","OWC","transition","122","A"
"COMPASS_Dec2021_072","PH","specific_conductance_ms_cm",0.05,"WLE","OWC","transition","122","A"
"COMPASS_Dec2021_073","PH","pH",6.6,"WLE","OWC","transition","123","A"
"COMPASS_Dec2021_073","PH","specific_conductance_ms_cm",0.09,"WLE","OWC","transition","123","A"
"COMPASS_Dec2021_074","PH","pH",7.2,"WLE","OWC","transition","124","A"
"COMPASS_Dec2021_074","PH","specific_conductance_ms_cm",0.07,"WLE","OWC","transition","124","A"
"COMPASS_Dec2021_075","PH","pH",7.2,"WLE","OWC","transition","125","A"
"COMPASS_Dec2021_075","PH","specific_conductance_ms_cm",0.1,"WLE","OWC","transition","125","A"
"COMPASS_Dec2021_076","PH","pH",7.3,"WLE","OWC","transition","126","A"
"COMPASS_Dec2021_076","PH","specific_conductance_ms_cm",0.06,"WLE","OWC","transition","126","A"
"COMPASS_Dec2021_077","PH","pH",6.8,"WLE","OWC","transition","127","A"
"COMPASS_Dec2021_077","PH","specific_conductance_ms_cm",0.06,"WLE","OWC","transition","127","A"
"COMPASS_Dec2021_078","PH","pH",6.5,"WLE","OWC","transition","128","A"
"COMPASS_Dec2021_078","PH","specific_conductance_ms_cm",0.11,"WLE","OWC","transition","128","A"
"COMPASS_Dec2021_079","PH","pH",6.6,"WLE","OWC","wte","W1","A"
"COMPASS_Dec2021_079","PH","specific_conductance_ms_cm",0.09,"WLE","OWC","wte","W1","A"
"COMPASS_Dec2021_080","PH","pH",6.6,"WLE","OWC","wte","W2","A"
"COMPASS_Dec2021_080","PH","specific_conductance_ms_cm",0.09,"WLE","OWC","wte","W2","A"
"COMPASS_Dec2021_081","PH","pH",6.8,"WLE","OWC","wte","W3","A"
"COMPASS_Dec2021_081","PH","specific_conductance_ms_cm",0.09,"WLE","OWC","wte","W3","A"
"COMPASS_Dec2021_082","PH","pH",7,"WLE","OWC","wte","W4","A"
"COMPASS_Dec2021_082","PH","specific_conductance_ms_cm",0.08,"WLE","OWC","wte","W4","A"
"COMPASS_Dec2021_083","PH","pH",7.5,"WLE","OWC","wte","W5","A"
"COMPASS_Dec2021_083","PH","specific_conductance_ms_cm",0.08,"WLE","OWC","wte","W5","A"
"COMPASS_Dec2021_084","PH","pH",7.2,"WLE","OWC","wte","W6","A"
"COMPASS_Dec2021_084","PH","specific_conductance_ms_cm",0.07,"WLE","OWC","wte","W6","A"
"COMPASS_Dec2021_085","PH","pH",6.3,"WLE","OWC","wte","W7","A"
"COMPASS_Dec2021_085","PH","specific_conductance_ms_cm",0.14,"WLE","OWC","wte","W7","A"
"COMPASS_Dec2021_086","PH","pH",6.6,"WLE","OWC","wte","W8","A"
"COMPASS_Dec2021_086","PH","specific_conductance_ms_cm",0.07,"WLE","OWC","wte","W8","A"
"COMPASS_Dec2021_087","PH","pH",6.9,"WLE","OWC","wte","W9","A"
"COMPASS_Dec2021_087","PH","specific_conductance_ms_cm",0.15,"WLE","OWC","wte","W9","A"
"COMPASS_Dec2021_088","PH","pH",6.5,"WLE","OWC","wetland","WC1","A"
"COMPASS_Dec2021_088","PH","specific_conductance_ms_cm",0.11,"WLE","OWC","wetland","WC1","A"
"COMPASS_Dec2021_089","PH","pH",6.1,"WLE","OWC","wetland","WC2","A"
"COMPASS_Dec2021_089","PH","specific_conductance_ms_cm",0.17,"WLE","OWC","wetland","WC2","A"
"COMPASS_Dec2021_090","PH","pH",6,"WLE","OWC","wetland","WC3","A"
"COMPASS_Dec2021_090","PH","specific_conductance_ms_cm",0.16,"WLE","OWC","wetland","WC3","A"
"COMPASS_Dec2021_091","PH","pH",6.3,"WLE","OWC","wetland","WC4","A"
"COMPASS_Dec2021_091","PH","specific_conductance_ms_cm",0.28,"WLE","OWC","wetland","WC4","A"
"COMPASS_Dec2021_092","PH","pH",6.1,"WLE","OWC","wetland","WC5","A"
"COMPASS_Dec2021_092","PH","specific_conductance_ms_cm",0.14,"WLE","OWC","wetland","WC5","A"
"COMPASS_Dec2021_093","PH","pH",6.6,"WLE","OWC","wetland","WC6","A"
"COMPASS_Dec2021_093","PH","specific_conductance_ms_cm",0.19,"WLE","OWC","wetland","WC6","A"
"COMPASS_Dec2021_094","PH","pH",6.7,"WLE","OWC","wetland","WC7","A"
"COMPASS_Dec2021_094","PH","specific_conductance_ms_cm",0.26,"WLE","OWC","wetland","WC7","A"
"COMPASS_Dec2021_095","PH","pH",6.6,"WLE","OWC","wetland","WC8","A"
"COMPASS_Dec2021_095","PH","specific_conductance_ms_cm",0.21,"WLE","OWC","wetland","WC8","A"
"COMPASS_Dec2021_107","PH","pH",5.7,"WLE","OWC","upland","101","B"
"COMPASS_Dec2021_107","PH","specific_conductance_ms_cm",0,"WLE","OWC","upland","101","B"
"COMPASS_Dec2021_108","PH","pH",5.2,"WLE","OWC","upland","105","B"
"COMPASS_Dec2021_108","PH","specific_conductance_ms_cm",0,"WLE","OWC","upland","105","B"
"COMPASS_Dec2021_109","PH","pH",5.6,"WLE","OWC","upland","106","B"
"COMPASS_Dec2021_109","PH","specific_conductance_ms_cm",0,"WLE","OWC","upland","106","B"
"COMPASS_Dec2021_110","PH","pH",5.6,"WLE","OWC","upland","107","B"
"COMPASS_Dec2021_110","PH","specific_conductance_ms_cm",0,"WLE","OWC","upland","107","B"
"COMPASS_Dec2021_111","PH","pH",5.8,"WLE","OWC","upland","108","B"
"COMPASS_Dec2021_111","PH","specific_conductance_ms_cm",0,"WLE","OWC","upland","108","B"
"COMPASS_Dec2021_112","PH","pH",7.2,"WLE","OWC","transition","120","B"
"COMPASS_Dec2021_112","PH","specific_conductance_ms_cm",0.02,"WLE","OWC","transition","120","B"
"COMPASS_Dec2021_113","PH","pH",5.1,"WLE","OWC","transition","121","B"
"COMPASS_Dec2021_113","PH","specific_conductance_ms_cm",0,"WLE","OWC","transition","121","B"
"COMPASS_Dec2021_114","PH","pH",7.2,"WLE","OWC","transition","122","B"
"COMPASS_Dec2021_114","PH","specific_conductance_ms_cm",0.02,"WLE","OWC","transition","122","B"
"COMPASS_Dec2021_115","PH","pH",7.1,"WLE","OWC","transition","123","B"
"COMPASS_Dec2021_115","PH","specific_conductance_ms_cm",0.03,"WLE","OWC","transition","123","B"
"COMPASS_Dec2021_117","PH","pH",6.6,"WLE","OWC","transition","125","B"
"COMPASS_Dec2021_117","PH","specific_conductance_ms_cm",0.03,"WLE","OWC","transition","125","B"
"COMPASS_Dec2021_118","PH","pH",7,"WLE","OWC","transition","126","B"
"COMPASS_Dec2021_118","PH","specific_conductance_ms_cm",0.03,"WLE","OWC","transition","126","B"
"COMPASS_Dec2021_119","PH","pH",7.3,"WLE","OWC","transition","127","B"
"COMPASS_Dec2021_119","PH","specific_conductance_ms_cm",0.01,"WLE","OWC","transition","127","B"
"COMPASS_Dec2021_120","PH","pH",7.5,"WLE","OWC","transition","128","B"
"COMPASS_Dec2021_120","PH","specific_conductance_ms_cm",0.03,"WLE","OWC","transition","128","B"
"COMPASS_Dec2021_061","TCTNTS","TC_perc",4.754,"WLE","OWC","upland","101","A"
"COMPASS_Dec2021_061","TCTNTS","TN_perc",0.355,"WLE","OWC","upland","101","A"
"COMPASS_Dec2021_061","TCTNTS","TS_perc",0.039,"WLE","OWC","upland","101","A"
"COMPASS_Dec2021_062","TCTNTS","TC_perc",4.447,"WLE","OWC","upland","102","A"
"COMPASS_Dec2021_062","TCTNTS","TN_perc",0.306,"WLE","OWC","upland","102","A"
"COMPASS_Dec2021_062","TCTNTS","TS_perc",0.024,"WLE","OWC","upland","102","A"
"COMPASS_Dec2021_063","TCTNTS","TC_perc",5.817,"WLE","OWC","upland","103","A"
"COMPASS_Dec2021_063","TCTNTS","TN_perc",0.366,"WLE","OWC","upland","103","A"
"COMPASS_Dec2021_063","TCTNTS","TS_perc",0.029,"WLE","OWC","upland","103","A"
"COMPASS_Dec2021_064","TCTNTS","TC_perc",5.128,"WLE","OWC","upland","104","A"
"COMPASS_Dec2021_064","TCTNTS","TN_perc",0.371,"WLE","OWC","upland","104","A"
"COMPASS_Dec2021_064","TCTNTS","TS_perc",0.027,"WLE","OWC","upland","104","A"
"COMPASS_Dec2021_065","TCTNTS","TC_perc",6.135,"WLE","OWC","upland","105","A"
"COMPASS_Dec2021_065","TCTNTS","TN_perc",0.444,"WLE","OWC","upland","105","A"
"COMPASS_Dec2021_065","TCTNTS","TS_perc",0.033,"WLE","OWC","upland","105","A"
"COMPASS_Dec2021_066","TCTNTS","TC_perc",3.017,"WLE","OWC","upland","106","A"
"COMPASS_Dec2021_066","TCTNTS","TN_perc",0.256,"WLE","OWC","upland","106","A"
"COMPASS_Dec2021_066","TCTNTS","TS_perc",0.017,"WLE","OWC","upland","106","A"
"COMPASS_Dec2021_067","TCTNTS","TC_perc",4.282,"WLE","OWC","upland","107","A"
"COMPASS_Dec2021_067","TCTNTS","TN_perc",0.343,"WLE","OWC","upland","107","A"
"COMPASS_Dec2021_067","TCTNTS","TS_perc",0.024,"WLE","OWC","upland","107","A"
"COMPASS_Dec2021_068","TCTNTS","TC_perc",7.039,"WLE","OWC","upland","108","A"
"COMPASS_Dec2021_068","TCTNTS","TN_perc",0.469,"WLE","OWC","upland","108","A"
"COMPASS_Dec2021_068","TCTNTS","TS_perc",0.034,"WLE","OWC","upland","108","A"
"COMPASS_Dec2021_069","TCTNTS","TC_perc",5.381,"WLE","OWC","upland","109","A"
"COMPASS_Dec2021_069","TCTNTS","TN_perc",0.342,"WLE","OWC","upland","109","A"
"COMPASS_Dec2021_069","TCTNTS","TS_perc",0.022,"WLE","OWC","upland","109","A"
"COMPASS_Dec2021_070","TCTNTS","TC_perc",5.302,"WLE","OWC","transition","120","A"
"COMPASS_Dec2021_070","TCTNTS","TN_perc",0.358,"WLE","OWC","transition","120","A"
"COMPASS_Dec2021_070","TCTNTS","TS_perc",0.038,"WLE","OWC","transition","120","A"
"COMPASS_Dec2021_071","TCTNTS","TC_perc",5.812,"WLE","OWC","transition","121","A"
"COMPASS_Dec2021_071","TCTNTS","TN_perc",0.394,"WLE","OWC","transition","121","A"
"COMPASS_Dec2021_071","TCTNTS","TS_perc",0.031,"WLE","OWC","transition","121","A"
"COMPASS_Dec2021_072","TCTNTS","TC_perc",6.686,"WLE","OWC","transition","122","A"
"COMPASS_Dec2021_072","TCTNTS","TN_perc",0.441,"WLE","OWC","transition","122","A"
"COMPASS_Dec2021_072","TCTNTS","TS_perc",0.044,"WLE","OWC","transition","122","A"
"COMPASS_Dec2021_073","TCTNTS","TC_perc",5.88,"WLE","OWC","transition","123","A"
"COMPASS_Dec2021_073","TCTNTS","TN_perc",0.423,"WLE","OWC","transition","123","A"
"COMPASS_Dec2021_073","TCTNTS","TS_perc",0.033,"WLE","OWC","transition","123","A"
"COMPASS_Dec2021_075","TCTNTS","TC_perc",7.994,"WLE","OWC","transition","125","A"
"COMPASS_Dec2021_075","TCTNTS","TN_perc",0.591,"WLE","OWC","transition","125","A"
"COMPASS_Dec2021_075","TCTNTS","TS_perc",0.054,"WLE","OWC","transition","125","A"
"COMPASS_Dec2021_076","TCTNTS","TC_perc",5.318,"WLE","OWC","transition","126","A"
"COMPASS_Dec2021_076","TCTNTS","TN_perc",0.384,"WLE","OWC","transition","126","A"
"COMPASS_Dec2021_076","TCTNTS","TS_perc",0.036,"WLE","OWC","transition","126","A"
"COMPASS_Dec2021_077","TCTNTS","TC_perc",5.905,"WLE","OWC","transition","127","A"
"COMPASS_Dec2021_077","TCTNTS","TN_perc",0.42,"WLE","OWC","transition","127","A"
"COMPASS_Dec2021_077","TCTNTS","TS_perc",0.033,"WLE","OWC","transition","127","A"
"COMPASS_Dec2021_078","TCTNTS","TC_perc",8.908,"WLE","OWC","transition","128","A"
"COMPASS_Dec2021_078","TCTNTS","TN_perc",0.622,"WLE","OWC","transition","128","A"
"COMPASS_Dec2021_078","TCTNTS","TS_perc",0.046,"WLE","OWC","transition","128","A"
"COMPASS_Dec2021_079","TCTNTS","TC_perc",7.383,"WLE","OWC","wte","W1","A"
"COMPASS_Dec2021_079","TCTNTS","TN_perc",0.53,"WLE","OWC","wte","W1","A"
"COMPASS_Dec2021_079","TCTNTS","TS_perc",0.047,"WLE","OWC","wte","W1","A"
"COMPASS_Dec2021_080","TCTNTS","TC_perc",5.732,"WLE","OWC","wte","W2","A"
"COMPASS_Dec2021_080","TCTNTS","TN_perc",0.444,"WLE","OWC","wte","W2","A"
"COMPASS_Dec2021_080","TCTNTS","TS_perc",0.043,"WLE","OWC","wte","W2","A"
"COMPASS_Dec2021_081","TCTNTS","TC_perc",7.166,"WLE","OWC","wte","W3","A"
"COMPASS_Dec2021_081","TCTNTS","TN_perc",0.555,"WLE","OWC","wte","W3","A"
"COMPASS_Dec2021_081","TCTNTS","TS_perc",0.055,"WLE","OWC","wte","W3","A"
"COMPASS_Dec2021_082","TCTNTS","TC_perc",5.736,"WLE","OWC","wte","W4","A"
"COMPASS_Dec2021_082","TCTNTS","TN_perc",0.428,"WLE","OWC","wte","W4","A"
"COMPASS_Dec2021_082","TCTNTS","TS_perc",0.057,"WLE","OWC","wte","W4","A"
"COMPASS_Dec2021_083","TCTNTS","TC_perc",4.843,"WLE","OWC","wte","W5","A"
"COMPASS_Dec2021_083","TCTNTS","TN_perc",0.399,"WLE","OWC","wte","W5","A"
"COMPASS_Dec2021_083","TCTNTS","TS_perc",0.047,"WLE","OWC","wte","W5","A"
"COMPASS_Dec2021_084","TCTNTS","TC_perc",7.034,"WLE","OWC","wte","W6","A"
"COMPASS_Dec2021_084","TCTNTS","TN_perc",0.497,"WLE","OWC","wte","W6","A"
"COMPASS_Dec2021_084","TCTNTS","TS_perc",0.066,"WLE","OWC","wte","W6","A"
"COMPASS_Dec2021_085","TCTNTS","TC_perc",9.327,"WLE","OWC","wte","W7","A"
"COMPASS_Dec2021_085","TCTNTS","TN_perc",0.694,"WLE","OWC","wte","W7","A"
"COMPASS_Dec2021_085","TCTNTS","TS_perc",0.086,"WLE","OWC","wte","W7","A"
"COMPASS_Dec2021_086","TCTNTS","TC_perc",6.714,"WLE","OWC","wte","W8","A"
"COMPASS_Dec2021_086","TCTNTS","TN_perc",0.519,"WLE","OWC","wte","W8","A"
"COMPASS_Dec2021_086","TCTNTS","TS_perc",0.084,"WLE","OWC","wte","W8","A"
"COMPASS_Dec2021_087","TCTNTS","TC_perc",10.381,"WLE","OWC","wte","W9","A"
"COMPASS_Dec2021_087","TCTNTS","TN_perc",0.746,"WLE","OWC","wte","W9","A"
"COMPASS_Dec2021_087","TCTNTS","TS_perc",0.102,"WLE","OWC","wte","W9","A"
"COMPASS_Dec2021_088","TCTNTS","TC_perc",3.828,"WLE","OWC","wetland","WC1","A"
"COMPASS_Dec2021_088","TCTNTS","TN_perc",0.329,"WLE","OWC","wetland","WC1","A"
"COMPASS_Dec2021_088","TCTNTS","TS_perc",0.057,"WLE","OWC","wetland","WC1","A"
"COMPASS_Dec2021_089","TCTNTS","TC_perc",8.329,"WLE","OWC","wetland","WC2","A"
"COMPASS_Dec2021_089","TCTNTS","TN_perc",0.621,"WLE","OWC","wetland","WC2","A"
"COMPASS_Dec2021_089","TCTNTS","TS_perc",0.116,"WLE","OWC","wetland","WC2","A"
"COMPASS_Dec2021_090","TCTNTS","TC_perc",6.625,"WLE","OWC","wetland","WC3","A"
"COMPASS_Dec2021_090","TCTNTS","TN_perc",0.518,"WLE","OWC","wetland","WC3","A"
"COMPASS_Dec2021_090","TCTNTS","TS_perc",0.086,"WLE","OWC","wetland","WC3","A"
"COMPASS_Dec2021_091","TCTNTS","TC_perc",8.635,"WLE","OWC","wetland","WC4","A"
"COMPASS_Dec2021_091","TCTNTS","TN_perc",0.623,"WLE","OWC","wetland","WC4","A"
"COMPASS_Dec2021_091","TCTNTS","TS_perc",0.108,"WLE","OWC","wetland","WC4","A"
"COMPASS_Dec2021_092","TCTNTS","TC_perc",4.959,"WLE","OWC","wetland","WC5","A"
"COMPASS_Dec2021_092","TCTNTS","TN_perc",0.424,"WLE","OWC","wetland","WC5","A"
"COMPASS_Dec2021_092","TCTNTS","TS_perc",0.061,"WLE","OWC","wetland","WC5","A"
"COMPASS_Dec2021_093","TCTNTS","TC_perc",6.93,"WLE","OWC","wetland","WC6","A"
"COMPASS_Dec2021_093","TCTNTS","TN_perc",0.559,"WLE","OWC","wetland","WC6","A"
"COMPASS_Dec2021_093","TCTNTS","TS_perc",0.092,"WLE","OWC","wetland","WC6","A"
"COMPASS_Dec2021_094","TCTNTS","TC_perc",7.119,"WLE","OWC","wetland","WC7","A"
"COMPASS_Dec2021_094","TCTNTS","TN_perc",0.581,"WLE","OWC","wetland","WC7","A"
"COMPASS_Dec2021_094","TCTNTS","TS_perc",0.096,"WLE","OWC","wetland","WC7","A"
"COMPASS_Dec2021_095","TCTNTS","TC_perc",5.593,"WLE","OWC","wetland","WC8","A"
"COMPASS_Dec2021_095","TCTNTS","TN_perc",0.455,"WLE","OWC","wetland","WC8","A"
"COMPASS_Dec2021_095","TCTNTS","TS_perc",0.086,"WLE","OWC","wetland","WC8","A"
"COMPASS_Dec2021_107","TCTNTS","TC_perc",0.546,"WLE","OWC","upland","101","B"
"COMPASS_Dec2021_107","TCTNTS","TN_perc",0.059,"WLE","OWC","upland","101","B"
"COMPASS_Dec2021_107","TCTNTS","TS_perc",0.004,"WLE","OWC","upland","101","B"
"COMPASS_Dec2021_108","TCTNTS","TC_perc",1.148,"WLE","OWC","upland","105","B"
"COMPASS_Dec2021_108","TCTNTS","TN_perc",0.105,"WLE","OWC","upland","105","B"
"COMPASS_Dec2021_108","TCTNTS","TS_perc",0.007,"WLE","OWC","upland","105","B"
"COMPASS_Dec2021_109","TCTNTS","TC_perc",0.293,"WLE","OWC","upland","106","B"
"COMPASS_Dec2021_109","TCTNTS","TN_perc",0.048,"WLE","OWC","upland","106","B"
"COMPASS_Dec2021_109","TCTNTS","TS_perc",0.004,"WLE","OWC","upland","106","B"
"COMPASS_Dec2021_110","TCTNTS","TC_perc",0.336,"WLE","OWC","upland","107","B"
"COMPASS_Dec2021_110","TCTNTS","TN_perc",0.05,"WLE","OWC","upland","107","B"
"COMPASS_Dec2021_110","TCTNTS","TS_perc",0.003,"WLE","OWC","upland","107","B"
"COMPASS_Dec2021_111","TCTNTS","TC_perc",0.548,"WLE","OWC","upland","108","B"
"COMPASS_Dec2021_111","TCTNTS","TN_perc",0.069,"WLE","OWC","upland","108","B"
"COMPASS_Dec2021_111","TCTNTS","TS_perc",0.017,"WLE","OWC","upland","108","B"
"COMPASS_Dec2021_112","TCTNTS","TC_perc",1.435,"WLE","OWC","transition","120","B"
"COMPASS_Dec2021_112","TCTNTS","TN_perc",0.143,"WLE","OWC","transition","120","B"
"COMPASS_Dec2021_112","TCTNTS","TS_perc",0.017,"WLE","OWC","transition","120","B"
"COMPASS_Dec2021_113","TCTNTS","TC_perc",0.403,"WLE","OWC","transition","121","B"
"COMPASS_Dec2021_113","TCTNTS","TN_perc",0.052,"WLE","OWC","transition","121","B"
"COMPASS_Dec2021_113","TCTNTS","TS_perc",0.003,"WLE","OWC","transition","121","B"
"COMPASS_Dec2021_114","TCTNTS","TC_perc",1.574,"WLE","OWC","transition","122","B"
"COMPASS_Dec2021_114","TCTNTS","TN_perc",0.156,"WLE","OWC","transition","122","B"
"COMPASS_Dec2021_114","TCTNTS","TS_perc",0.018,"WLE","OWC","transition","122","B"
"COMPASS_Dec2021_115","TCTNTS","TC_perc",1.503,"WLE","OWC","transition","123","B"
"COMPASS_Dec2021_115","TCTNTS","TN_perc",0.141,"WLE","OWC","transition","123","B"
"COMPASS_Dec2021_115","TCTNTS","TS_perc",0.016,"WLE","OWC","transition","123","B"
"COMPASS_Dec2021_116","TCTNTS","TC_perc",1.532,"WLE","OWC","transition","124","B"
"COMPASS_Dec2021_116","TCTNTS","TN_perc",0.156,"WLE","OWC","transition","124","B"
"COMPASS_Dec2021_116","TCTNTS","TS_perc",0.016,"WLE","OWC","transition","124","B"
"COMPASS_Dec2021_117","TCTNTS","TC_perc",1.828,"WLE","OWC","transition","125","B"
"COMPASS_Dec2021_117","TCTNTS","TN_perc",0.166,"WLE","OWC","transition","125","B"
"COMPASS_Dec2021_117","TCTNTS","TS_perc",0.023,"WLE","OWC","transition","125","B"
"COMPASS_Dec2021_118","TCTNTS","TC_perc",1.32,"WLE","OWC","transition","126","B"
"COMPASS_Dec2021_118","TCTNTS","TN_perc",0.122,"WLE","OWC","transition","126","B"
"COMPASS_Dec2021_118","TCTNTS","TS_perc",0.014,"WLE","OWC","transition","126","B"
"COMPASS_Dec2021_119","TCTNTS","TC_perc",0.979,"WLE","OWC","transition","127","B"
"COMPASS_Dec2021_119","TCTNTS","TN_perc",0.097,"WLE","OWC","transition","127","B"
"COMPASS_Dec2021_119","TCTNTS","TS_perc",0.008,"WLE","OWC","transition","127","B"
