[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	8/9/2022 10:26:48 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:37:04 PM	3	3	NPOC	17.15	17.04	5.000	 	 	 	*******	0.2854	1.67	0.000	0.00	87	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:45:09 PM	4	1	NPOC	37.74	37.48	10.00	 	 	 	*******	0.4590	1.22	0.000	0.00	88	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:47:53 PM	4	2	NPOC	36.95	37.48	10.00	 	 	 	*******	0.4590	1.22	0.000	0.00	88	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:50:37 PM	4	3	NPOC	37.75	37.48	10.00	 	 	 	*******	0.4590	1.22	0.000	0.00	88	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 3:59:31 PM	5	1	NPOC	166.1	167.1	50.00	 	 	 	*******	0.9609	0.57	0.000	0.00	89	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 4:02:40 PM	5	2	NPOC	168.0	167.1	50.00	 	 	 	*******	0.9609	0.57	0.000	0.00	89	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 4:05:43 PM	5	3	NPOC	167.3	167.1	50.00	 	 	 	*******	0.9609	0.57	0.000	0.00	89	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 4:14:32 PM	6	1	NPOC	354.6	356.7	100.0	 	 	 	*******	3.381	0.95	0.000	0.00	90	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 4:17:53 PM	6	2	NPOC	354.9	356.7	100.0	 	 	 	*******	3.381	0.95	0.000	0.00	90	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal		1.00			8/5/2022 4:21:03 PM	6	3	NPOC	360.6	356.7	100.0	 	 	 	*******	3.381	0.95	0.000	0.00	90	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0177	anoxia	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 4:29:09 PM	1	1	NPOC	44.78	44.92	12.69	12.73	NPOC:12.73mg/L	NPOC:12.73mg/L	*******	0.5382	1.20	0.1526	1.20	1	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0177	anoxia	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 4:31:45 PM	1	2	NPOC	44.46	44.92	12.60	12.73	NPOC:12.73mg/L	NPOC:12.73mg/L	*******	0.5382	1.20	0.1526	1.20	1	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0177	anoxia	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 4:34:38 PM	1	3	NPOC	46.20	44.92	13.10	12.73	NPOC:12.73mg/L	NPOC:12.73mg/L	*******	0.5382	1.20	0.1526	1.20	1	1	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0177	anoxia	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 4:37:22 PM	1	4	NPOC	45.51	44.92	12.90	12.73	NPOC:12.73mg/L	NPOC:12.73mg/L	*******	0.5382	1.20	0.1526	1.20	1	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0178		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 4:45:19 PM	1	1	NPOC	42.42	42.38	12.03	12.02	NPOC:12.02mg/L	NPOC:12.02mg/L	*******	0.03512	0.08	0.00996	0.08	2	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0178		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 4:48:00 PM	1	2	NPOC	42.38	42.38	12.01	12.02	NPOC:12.02mg/L	NPOC:12.02mg/L	*******	0.03512	0.08	0.00996	0.08	2	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0178		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 4:50:38 PM	1	3	NPOC	42.35	42.38	12.01	12.02	NPOC:12.02mg/L	NPOC:12.02mg/L	*******	0.03512	0.08	0.00996	0.08	2	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0179		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 4:58:44 PM	1	1	NPOC	47.55	49.74	13.48	14.10	NPOC:14.10mg/L	NPOC:14.10mg/L	*******	0.09165	0.18	0.02598	0.18	3	1	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0179		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:01:40 PM	1	2	NPOC	49.64	49.74	14.07	14.10	NPOC:14.10mg/L	NPOC:14.10mg/L	*******	0.09165	0.18	0.02598	0.18	3	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0179		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:04:37 PM	1	3	NPOC	49.76	49.74	14.11	14.10	NPOC:14.10mg/L	NPOC:14.10mg/L	*******	0.09165	0.18	0.02598	0.18	3	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0179		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:07:29 PM	1	4	NPOC	49.82	49.74	14.12	14.10	NPOC:14.10mg/L	NPOC:14.10mg/L	*******	0.09165	0.18	0.02598	0.18	3	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0180		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:15:44 PM	1	1	NPOC	46.11	46.00	13.07	13.04	NPOC:13.04mg/L	NPOC:13.04mg/L	*******	0.5085	1.11	0.1441	1.11	4	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0180		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:18:34 PM	1	2	NPOC	45.45	46.00	12.88	13.04	NPOC:13.04mg/L	NPOC:13.04mg/L	*******	0.5085	1.11	0.1441	1.11	4	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0180		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:21:25 PM	1	3	NPOC	46.45	46.00	13.17	13.04	NPOC:13.04mg/L	NPOC:13.04mg/L	*******	0.5085	1.11	0.1441	1.11	4	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0181		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:29:24 PM	1	1	NPOC	45.11	45.28	12.79	12.84	NPOC:12.84mg/L	NPOC:12.84mg/L	*******	0.4973	1.10	0.1410	1.10	5	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0181		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:32:06 PM	1	2	NPOC	44.89	45.28	12.73	12.84	NPOC:12.84mg/L	NPOC:12.84mg/L	*******	0.4973	1.10	0.1410	1.10	5	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0181		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:34:59 PM	1	3	NPOC	45.84	45.28	12.99	12.84	NPOC:12.84mg/L	NPOC:12.84mg/L	*******	0.4973	1.10	0.1410	1.10	5	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0182		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:42:42 PM	1	1	NPOC	13.12	13.14	3.719	3.725	NPOC:3.725mg/L	NPOC:3.725mg/L	*******	0.1015	0.77	0.02877	0.77	6	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0182		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:45:17 PM	1	2	NPOC	13.05	13.14	3.699	3.725	NPOC:3.725mg/L	NPOC:3.725mg/L	*******	0.1015	0.77	0.02877	0.77	6	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0182		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:47:44 PM	1	3	NPOC	13.25	13.14	3.756	3.725	NPOC:3.725mg/L	NPOC:3.725mg/L	*******	0.1015	0.77	0.02877	0.77	6	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0183		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:55:21 PM	1	1	NPOC	17.90	17.65	5.074	5.003	NPOC:5.003mg/L	NPOC:5.003mg/L	*******	0.3252	1.84	0.09218	1.84	7	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0183		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 5:58:00 PM	1	2	NPOC	17.28	17.65	4.899	5.003	NPOC:5.003mg/L	NPOC:5.003mg/L	*******	0.3252	1.84	0.09218	1.84	7	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0183		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:00:30 PM	1	3	NPOC	17.76	17.65	5.035	5.003	NPOC:5.003mg/L	NPOC:5.003mg/L	*******	0.3252	1.84	0.09218	1.84	7	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0184		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:08:11 PM	1	1	NPOC	14.52	14.41	4.116	4.084	NPOC:4.084mg/L	NPOC:4.084mg/L	*******	0.1793	1.24	0.05082	1.24	8	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0184		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:10:41 PM	1	2	NPOC	14.20	14.41	4.025	4.084	NPOC:4.084mg/L	NPOC:4.084mg/L	*******	0.1793	1.24	0.05082	1.24	8	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0184		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:13:12 PM	1	3	NPOC	14.50	14.41	4.111	4.084	NPOC:4.084mg/L	NPOC:4.084mg/L	*******	0.1793	1.24	0.05082	1.24	8	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0185		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:20:48 PM	1	1	NPOC	13.27	13.73	3.762	3.893	NPOC:3.893mg/L	NPOC:3.893mg/L	*******	0.1021	0.74	0.02896	0.74	9	1	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0185		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:23:25 PM	1	2	NPOC	13.66	13.73	3.872	3.893	NPOC:3.893mg/L	NPOC:3.893mg/L	*******	0.1021	0.74	0.02896	0.74	9	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0185		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:25:58 PM	1	3	NPOC	13.85	13.73	3.926	3.893	NPOC:3.893mg/L	NPOC:3.893mg/L	*******	0.1021	0.74	0.02896	0.74	9	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0185		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:28:20 PM	1	4	NPOC	13.69	13.73	3.881	3.893	NPOC:3.893mg/L	NPOC:3.893mg/L	*******	0.1021	0.74	0.02896	0.74	9	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0186		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:36:06 PM	1	1	NPOC	13.77	13.61	3.904	3.858	NPOC:3.858mg/L	NPOC:3.858mg/L	*******	0.2352	1.73	0.06666	1.73	10	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0186		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:38:33 PM	1	2	NPOC	13.34	13.61	3.782	3.858	NPOC:3.858mg/L	NPOC:3.858mg/L	*******	0.2352	1.73	0.06666	1.73	10	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0186		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:41:04 PM	1	3	NPOC	13.72	13.61	3.889	3.858	NPOC:3.858mg/L	NPOC:3.858mg/L	*******	0.2352	1.73	0.06666	1.73	10	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0187		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:49:08 PM	1	1	NPOC	46.50	46.99	13.18	13.32	NPOC:13.32mg/L	NPOC:13.32mg/L	*******	0.8806	1.87	0.2496	1.87	11	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0187		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:51:50 PM	1	2	NPOC	46.47	46.99	13.17	13.32	NPOC:13.32mg/L	NPOC:13.32mg/L	*******	0.8806	1.87	0.2496	1.87	11	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0187		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 6:54:37 PM	1	3	NPOC	48.01	46.99	13.61	13.32	NPOC:13.32mg/L	NPOC:13.32mg/L	*******	0.8806	1.87	0.2496	1.87	11	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0188		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:02:39 PM	1	1	NPOC	40.85	41.39	11.58	11.73	NPOC:11.73mg/L	NPOC:11.73mg/L	*******	0.5607	1.35	0.1590	1.35	12	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0188		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:05:23 PM	1	2	NPOC	41.36	41.39	11.72	11.73	NPOC:11.73mg/L	NPOC:11.73mg/L	*******	0.5607	1.35	0.1590	1.35	12	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0188		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:08:23 PM	1	3	NPOC	41.97	41.39	11.90	11.73	NPOC:11.73mg/L	NPOC:11.73mg/L	*******	0.5607	1.35	0.1590	1.35	12	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0189		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:16:30 PM	1	1	NPOC	55.52	55.70	15.74	15.79	NPOC:15.79mg/L	NPOC:15.79mg/L	*******	0.6144	1.10	0.1742	1.10	13	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0189		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:19:25 PM	1	2	NPOC	55.19	55.70	15.65	15.79	NPOC:15.79mg/L	NPOC:15.79mg/L	*******	0.6144	1.10	0.1742	1.10	13	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0189		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:22:21 PM	1	3	NPOC	56.38	55.70	15.98	15.79	NPOC:15.79mg/L	NPOC:15.79mg/L	*******	0.6144	1.10	0.1742	1.10	13	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0190		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:30:31 PM	1	1	NPOC	49.31	49.62	13.98	14.07	NPOC:14.07mg/L	NPOC:14.07mg/L	*******	0.9536	1.92	0.2703	1.92	14	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0190		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:33:20 PM	1	2	NPOC	48.86	49.62	13.85	14.07	NPOC:14.07mg/L	NPOC:14.07mg/L	*******	0.9536	1.92	0.2703	1.92	14	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0190		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:36:08 PM	1	3	NPOC	50.69	49.62	14.37	14.07	NPOC:14.07mg/L	NPOC:14.07mg/L	*******	0.9536	1.92	0.2703	1.92	14	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0191		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:44:04 PM	1	1	NPOC	40.38	41.13	11.45	11.66	NPOC:11.66mg/L	NPOC:11.66mg/L	*******	0.7604	1.85	0.2155	1.85	15	0	50	1.000	
Unknown	NPOC	DOC_CMPS_KFP_0191		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_08_05_14_55_27.cal	1.00			8/5/2022 7:46:54 PM	1	2	NPOC	39.48	41.13	11.19	11.66	NPOC:11.66mg/L	NPOC:11.66mg/L	*******	0.7604	1.85	0.2155	1.85	15	1	50	1.000	
